종목,파라미터,시작연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유,등락률(%),사건 번호
KODEX 200,K=10,2005,폭등,-5.0,2005-11-23,16600.0,2005-11-24,1,16530.0,0.42,-0.12,수익청산,4.34,1
KODEX 200,K=10,2005,폭락,-5.0,2007-07-27,24005.0,2007-07-30,1,24250.0,1.02,-1.75,수익청산,-4.74,2
KODEX 200,K=10,2005,폭락,-5.0,2007-08-01,23450.0,2007-08-03,2,23750.0,1.28,-2.37,수익청산,-4.29,2
KODEX 200,K=10,2005,폭락,-5.0,2007-08-10,23040.0,2007-08-13,1,23410.0,1.61,0.0,수익청산,-4.56,2
KODEX 200,K=10,2005,폭락,-5.0,2007-08-16,21695.0,2007-08-20,2,22060.0,1.68,-3.69,수익청산,-6.04,2
KODEX 200,K=10,2005,폭등,-5.0,2007-08-20,22060.0,2007-08-21,1,22025.0,0.16,-1.84,수익청산,5.05,2
KODEX 200,K=10,2005,폭등,-5.0,2007-11-26,23600.0,2007-11-28,2,23270.0,1.4,-1.44,수익청산,4.45,3
KODEX 200,K=10,2005,폭등,-5.0,2008-09-08,19070.0,2008-09-09,1,18760.0,1.63,0.13,수익청산,5.07,4
KODEX 200,K=10,2005,폭락,-5.0,2008-09-16,17980.0,2008-09-17,1,18480.0,2.78,1.53,수익청산,-5.91,4
KODEX 200,K=10,2005,폭등,-5.0,2008-09-19,19080.0,2008-09-22,1,18990.0,0.47,-1.68,수익청산,6.06,4
KODEX 200,K=10,2005,폭락,-5.0,2008-10-08,16900.0,2008-10-09,1,16950.0,0.3,-1.09,수익청산,-4.79,4
KODEX 200,K=10,2005,폭등,-5.0,2008-10-14,17840.0,2008-10-15,1,17480.0,2.02,1.07,수익청산,6.1,4
KODEX 200,K=10,2005,폭락,-5.0,2008-10-16,15745.0,2008-10-20,2,15800.0,0.35,-4.1,수익청산,-9.93,4
KODEX 200,K=10,2005,폭락,-5.0,2008-10-22,14730.0,2008-10-23,1,13994.0,-5.0,-5.0,장중손절,-6.3,4
KODEX 200,K=10,2005,폭락,-5.0,2008-10-23,13800.0,2008-10-24,1,13110.0,-5.0,-5.0,장중손절,-6.31,4
KODEX 200,K=10,2005,폭락,-5.0,2008-10-24,12160.0,2008-10-27,1,12300.0,1.15,-3.17,수익청산,-11.88,4
KODEX 200,K=10,2005,폭등,-5.0,2008-10-28,13400.0,2008-10-29,1,14070.0,-5.0,-5.0,장중손절,8.94,4
KODEX 200,K=10,2005,폭등,-5.0,2008-10-30,14820.0,2008-11-03,2,14920.0,-0.67,-4.45,기한청산,14.97,4
KODEX 200,K=10,2005,폭락,-5.0,2008-11-06,14300.0,2008-11-07,1,14930.0,4.41,-3.99,수익청산,-8.1,4
KODEX 200,K=10,2005,폭락,-5.0,2008-11-20,12430.0,2008-11-21,1,13200.0,6.19,-3.34,수익청산,-6.82,4
